{'queryset/testMaterial/imagesgravel7.jpeg': 0, 'queryset/testMaterial/indexgravel3.jpeg': 0, 'queryset/testMaterial/gravelTest2.jpeg': 0, 'queryset/testMaterial/indexgravel4.jpeg': 0, 'queryset/testMaterial/indexgravel5.jpeg': 0, 'queryset/testMaterial/indexgravel.jpeg': 0, 'queryset/testMaterial/imagesgravel9.jpeg': 0, 'queryset/testMaterial/imagesgravel8.jpeg': 0, 'queryset/testMaterial/indexgravel6.jpeg': 0, 'queryset/testMaterial/imagesgravel12.jpeg': 0, 'queryset/testMaterial/indexgravel10.jpeg': 0, 'queryset/testMaterial/imagesgravel13.jpeg': 0, 'queryset/testMaterial/indexgravel11.jpeg': 0, 'queryset/testMaterial/gravelTest111.jpeg': 0, 'queryset/testMaterial/indexgravel2.jpeg': 0}
[3, 8]
Displaying scores for queryset/testMaterial/imagesgravel7.jpeg ** 

trainset/bitumin/bitumin127.jpeg has score 3.159
trainset/sand/sand116.jpeg has score 3.348
trainset/bitumin/bitumin128.jpeg has score 3.394
trainset/bitumin/bitumin129.jpeg has score 3.465
trainset/mixture/mixture8.jpeg has score 3.48
trainset/sand/sand111.jpeg has score 3.543
trainset/sand/sand1.jpeg has score 3.689
trainset/bitumin/bitumin133.jpeg has score 3.753
trainset/bitumin/bitumin132.jpeg has score 3.753
trainset/bitumin/bitumin120.jpeg has score 3.769
trainset/sand/sand125.jpeg has score 3.836
trainset/bitumin/bitumin118.jpeg has score 3.842
trainset/mixture/mixture3.jpeg has score 3.895
trainset/bitumin/bitumin130.jpeg has score 3.959
trainset/bitumin/bitumin115.jpeg has score 4.064
trainset/mixture/mixture4.jpeg has score 4.072
trainset/sand/sand115.jpeg has score 4.089
trainset/mixture/mixture9.jpeg has score 4.25
trainset/bitumin/bitumin125.jpeg has score 4.314
trainset/bitumin/bitumin131.jpeg has score 4.316
trainset/bitumin/bitumin117.jpeg has score 4.346
trainset/bitumin/bitumin134.jpeg has score 4.409
trainset/bitumin/bitumin124.jpeg has score 4.592
trainset/bitumin/bitumin116.jpeg has score 4.625
trainset/sand/sand118.jpeg has score 4.704
trainset/bitumin/bitumin112.jpeg has score 4.732
trainset/bitumin/bitumin114.jpeg has score 4.751
trainset/bitumin/bitumin123.jpeg has score 4.769
trainset/sand/sand120.jpeg has score 4.775
trainset/bitumin/bitumin113.jpeg has score 4.916
trainset/sand/sand127.jpeg has score 4.928
